,0
0,䌽
1,一
2,一一
3,一万
4,一两
5,一事
6,一人
7,一半
8,一去
9,一双
10,一叶
11,一回
12,一声
13,一壶
14,一夜
15,一寸
16,一年
17,一度
18,一日
19,一旦
20,一时
21,一曲
22,一朝
23,一本
24,一朵
25,一条
26,一杯
27,一枝
28,一树
29,一点
30,一片
31,一生
32,一百
33,一种
34,一笑
35,一般
36,一身
37,一道
38,一醉
39,一重
40,七
41,七夕
42,万
43,万事
44,万古
45,万家
46,万户
47,万里
48,丈
49,三
50,三代
51,三十
52,三千
53,三四
54,三声
55,三尺
56,三年
57,三日
58,三更
59,三月
60,三湘
61,三百
62,上
63,上天
64,上方
65,下
66,下山
67,下有
68,下第
69,下马
70,不
71,不为
72,不会
73,不似
74,不住
75,不关
76,不到
77,不动
78,不厌
79,不及
80,不可
81,不同
82,不回
83,不在
84,不堪
85,不复
86,不如
87,不将
88,不尽
89,不平
90,不开
91,不归
92,不待
93,不得
94,不必
95,不忍
96,不惜
97,不成
98,不教
99,不敢
100,不是
101,不曾
102,不来
103,不独
104,不用
105,不知
106,不羨
107,不肯
108,不胜
109,不能
110,不至
111,不见
112,不觉
113,不解
114,不言
115,不许
116,不识
117,不语
118,不足
119,不辞
120,不还
121,不遇
122,不闻
123,不须
124,与
125,与人
126,且
127,世
128,世上
129,世人
130,世间
131,丘
132,业
133,丛
134,东
135,东去
136,东山
137,东归
138,东林
139,东流
140,东西
141,东都
142,东风
143,丝
144,丞相
145,两
146,严
147,中
148,中丞
149,中庭
150,中有
151,中秋
152,临
153,临水
154,临风
155,丹
156,丹青
157,为
158,为君
159,为我
160,为报
161,为谁
162,为问
163,主
164,主人
165,主簿
166,丽
167,举
168,久
169,义
170,之
171,乌
172,乍
173,乐
174,乐天
175,乐府
176,乐游
177,乔
178,乘
179,九
180,九十
181,九华
182,九天
183,九日
184,九重
185,乞
186,也
187,乡
188,书
189,买
190,乱
191,乾坤
192,了
193,予
194,争
195,事
196,二
197,二三
198,二十
199,二年
200,二月
201,于
202,云
203,云中
204,云山
205,云水
206,云间
207,云雨
208,五
209,五云
210,五十
211,五更
212,五月
213,五湖
214,五色
215,井
216,亚
217,亡
218,亡国
219,交
220,亦
221,京
222,亭
223,亲
224,人
225,人世
226,人事
227,人人
228,人家
229,人来
230,人生
231,人语
232,人间
233,仁
234,仆
235,仆射
236,今
237,今夜
238,今宵
239,今年
240,今日
241,今朝
242,今来
243,仍
244,从
245,从事
246,从今
247,从军
248,从来
249,从此
250,他
251,他人
252,他时
253,付
254,仙
255,仙人
256,代
257,令
258,令公
259,以
260,仲
261,任
262,伊
263,伏
264,休
265,众
266,会
267,会稽
268,传
269,伤
270,伤心
271,伤春
272,伦
273,伯
274,伴
275,似
276,似有
277,似雪
278,但
279,低
280,住
281,佐
282,体
283,何
284,何事
285,何人
286,何似
287,何况
288,何在
289,何处
290,何如
291,何年
292,何必
293,何日
294,何时
295,何曾
296,何用
297,何由
298,何须
299,余
300,佛
301,作
302,佳
303,佳人
304,佳期
305,使
306,使君
307,侍
308,侍御
309,侍郎
310,供
311,依
312,依依
313,依旧
314,依然
315,侣
316,侧
317,侯
318,侵
319,便
320,俗
321,保
322,信
323,信陵
324,修
325,俱
326,俱是
327,倍
328,倒
329,候
330,倚
331,借
332,借问
333,倩
334,值
335,倾
336,偃
337,偏
338,停
339,偶
340,偶然
341,偷
342,傍
343,储
344,催
345,僧
346,僧院
347,儿
348,元
349,兄
350,兄弟
351,先
352,先生
353,先辈
354,光
355,免
356,入
357,全
358,八
359,公
360,公主
361,公子
362,六
363,六宫
364,六朝
365,兰
366,兰若
367,共
368,关
369,关山
370,关西
371,兴
372,兵
373,其
374,养
375,兼
376,兽
377,内
378,内人
379,再
380,写
381,军
382,冠
383,冢
384,冤
385,冬
386,冯
387,冰
388,冲
389,况
390,冷
391,冻
392,净
393,凄凄
394,凄凉
395,凉
396,凉州
397,凉风
398,凌
399,减
400,凝
401,几
402,几人
403,几回
404,几处
405,几年
406,几度
407,几日
408,几时
409,几许
410,凤
411,凤池
412,凤皇
413,凫
414,凭
415,凭君
416,出
417,出城
418,出门
419,刀
420,分
421,分明
422,切
423,刑
424,列
425,刘
426,刘郎
427,刚
428,初
429,判官
430,利
431,别
432,别有
433,别离
434,到
435,到此
436,制
437,刺
438,刺史
439,前
440,前山
441,剑
442,剪
443,力
444,劝
445,劝君
446,功
447,功名
448,功成
449,加
450,动
451,助
452,劳
453,势
454,勒
455,勳
456,勿
457,匀
458,包
459,化
460,化为
461,北
462,北风
463,匝
464,匹马
465,十
466,十一
467,十三
468,十九
469,十二
470,十五
471,十八
472,十四
473,十年
474,十月
475,十里
476,千
477,千万
478,千古
479,千山
480,千年
481,千秋
482,千载
483,千里
484,千金
485,千门
486,升
487,午
488,半
489,半夜
490,半日
491,华
492,华阳
493,单于
494,卖
495,南
496,南北
497,南国
498,南山
499,南望
500,南朝
501,南楼
502,南行
503,南风
504,占
505,卢
506,卧
507,卧龙
508,卫
509,印
510,危
511,即
512,却
513,卷
514,卿
515,厅
516,压
517,厌
518,厚
519,原
520,原上
521,去
522,去年
523,去时
524,县
525,参
526,参差
527,又
528,又见
529,及
530,及第
531,友
532,友人
533,双
534,双飞
535,发
536,叔
537,取
538,受
539,变
540,叟
541,叠
542,口
543,口号
544,古
545,古人
546,古寺
547,古木
548,古来
549,句
550,只
551,叫
552,召
553,可
554,可怜
555,可惜
556,可知
557,可能
558,台
559,台上
560,史
561,右
562,叶
563,号
564,司
565,司空
566,司马
567,叹
568,各
569,合
570,吉
571,同
572,同年
573,同游
574,同醉
575,名
576,后
577,后庭
578,后汉
579,吏
580,吐
581,向
582,向东
583,向人
584,向南
585,向此
586,向西
587,吕
588,君
589,君子
590,君家
591,君山
592,君心
593,君恩
594,君王
595,君看
596,吟
597,否
598,含
599,听
600,听歌
601,吴
602,吴王
603,吹
604,吹箫
605,吹落
606,吾
607,呈
608,员外
609,周
610,味
611,呼
612,命
613,和
614,咏
615,咏诗
616,咸
617,咸阳
618,咽
619,哀
620,响
621,哭
622,唐
623,唤
624,唯
625,唯有
626,唱
627,啄
628,商
629,商山
630,啭
631,啼
632,善
633,喜
634,喧
635,喫
636,喷
637,喻
638,嗔
639,嗟
640,嗣
641,嘉
642,嘉陵
643,嘏
644,嘲
645,嘶
646,器
647,四
648,四十
649,四方
650,四时
651,四海
652,四皓
653,四邻
654,四面
655,回
656,回头
657,回看
658,回首
659,因
660,园
661,园中
662,困
663,围
664,固
665,国
666,图
667,圆
668,土
669,圣
670,圣主
671,在
672,在天
673,地
674,坏
675,坐
676,坚
677,坛
678,坞
679,坟
680,坠
681,坡
682,垂
683,埋
684,城
685,城上
686,城下
687,城东
688,城中
689,城南
690,城外
691,城边
692,基
693,堂
694,堆
695,堕
696,堤
697,堪
698,塔
699,塘
700,塞
701,塞上
702,境
703,墓
704,墙
705,壁
706,士
707,声
708,声声
709,处
710,处士
711,处处
712,复
713,夏
714,夏日
715,夕
716,夕阳
717,外
718,多
719,多少
720,多情
721,多时
722,多病
723,夜
724,夜夜
725,夜深
726,夜长
727,夜雨
728,大
729,大堤
730,大夫
731,天
732,天上
733,天下
734,天台
735,天地
736,天外
737,天子
738,天明
739,天气
